Truck Index,Carrier Index,First Hub,First Edge,Start Time - 1min
548,852,79,63,"11/20/2021, 08:45:40"
937,370,63,64,"11/20/2021, 08:55:40"
269,854,40,65,"11/20/2021, 07:59:00"
669,763,40,65,"11/20/2021, 08:00:40"
832,775,40,65,"11/20/2021, 08:00:40"
375,736,40,65,"11/20/2021, 08:05:40"
926,850,40,65,"11/20/2021, 08:05:40"
863,415,40,65,"11/20/2021, 08:07:20"
973,536,40,65,"11/20/2021, 08:07:20"
409,833,40,65,"11/20/2021, 08:09:00"
800,793,40,65,"11/20/2021, 08:09:00"
949,659,40,65,"11/20/2021, 08:12:20"
453,780,40,65,"11/20/2021, 08:15:40"
703,732,40,65,"11/20/2021, 08:25:40"
962,76,40,65,"11/20/2021, 08:29:00"
49,843,40,65,"11/20/2021, 08:32:20"
387,854,40,65,"11/20/2021, 08:32:20"
55,831,40,65,"11/20/2021, 08:34:00"
348,851,40,65,"11/20/2021, 08:34:00"
658,840,40,65,"11/20/2021, 08:34:00"
25,435,40,65,"11/20/2021, 08:40:40"
357,849,40,65,"11/20/2021, 08:52:20"
141,259,40,65,"11/20/2021, 08:54:00"
729,561,6,66,"11/20/2021, 08:09:00"
27,84,6,66,"11/20/2021, 08:15:40"
457,834,6,66,"11/20/2021, 08:35:40"
46,836,6,66,"11/20/2021, 08:39:00"
78,855,6,66,"11/20/2021, 08:42:20"
431,400,6,66,"11/20/2021, 08:44:00"
649,855,6,66,"11/20/2021, 08:54:00"
758,851,6,66,"11/20/2021, 08:57:20"
79,843,54,70,"11/20/2021, 08:00:40"
31,730,54,70,"11/20/2021, 08:20:40"
45,850,54,70,"11/20/2021, 08:39:00"
145,284,54,70,"11/20/2021, 08:42:20"
60,847,54,70,"11/20/2021, 08:45:40"
757,839,54,70,"11/20/2021, 08:47:20"
186,840,66,71,"11/20/2021, 08:00:40"
454,855,66,71,"11/20/2021, 08:04:00"
199,735,66,71,"11/20/2021, 08:40:40"
596,803,66,71,"11/20/2021, 08:59:00"
708,852,11,72,"11/20/2021, 08:54:00"
418,794,51,73,"11/20/2021, 08:10:40"
459,824,51,73,"11/20/2021, 08:19:00"
271,855,85,74,"11/20/2021, 07:59:00"
922,413,85,74,"11/20/2021, 08:20:40"
655,828,24,75,"11/20/2021, 08:09:00"
929,855,103,76,"11/20/2021, 08:50:40"
113,574,14,77,"11/20/2021, 08:14:00"
236,542,95,78,"11/20/2021, 08:55:40"
541,348,84,79,"11/20/2021, 08:20:40"
165,719,87,80,"11/20/2021, 08:14:00"
204,581,87,80,"11/20/2021, 08:42:20"
515,850,59,81,"11/20/2021, 08:19:00"
524,849,59,81,"11/20/2021, 08:27:20"
231,824,47,82,"11/20/2021, 08:07:20"
616,843,47,82,"11/20/2021, 08:20:40"
345,855,70,83,"11/20/2021, 08:54:00"
14,454,36,86,"11/20/2021, 08:10:40"
754,598,36,86,"11/20/2021, 08:24:00"
767,765,36,86,"11/20/2021, 08:27:20"
640,825,36,86,"11/20/2021, 08:42:20"
915,456,36,86,"11/20/2021, 08:54:00"
24,796,28,87,"11/20/2021, 07:59:00"
693,342,29,88,"11/20/2021, 08:09:00"
12,741,29,88,"11/20/2021, 08:29:00"
419,807,29,88,"11/20/2021, 08:42:20"
830,750,50,91,"11/20/2021, 08:20:40"
119,752,50,91,"11/20/2021, 08:59:00"
935,836,61,92,"11/20/2021, 08:47:20"
353,854,6,93,"11/20/2021, 08:04:00"
772,772,6,93,"11/20/2021, 08:12:20"
61,613,6,93,"11/20/2021, 08:54:00"
583,766,62,94,"11/20/2021, 08:07:20"
179,855,62,94,"11/20/2021, 08:12:20"
650,778,62,94,"11/20/2021, 08:20:40"
491,813,62,94,"11/20/2021, 08:25:40"
971,822,62,94,"11/20/2021, 08:37:20"
100,831,62,94,"11/20/2021, 08:45:40"
308,611,62,94,"11/20/2021, 08:59:00"
1,855,2,95,"11/20/2021, 08:00:40"
174,847,2,95,"11/20/2021, 08:44:00"
594,460,2,95,"11/20/2021, 08:52:20"
207,851,2,95,"11/20/2021, 08:54:00"
647,177,33,96,"11/20/2021, 07:59:00"
760,846,33,96,"11/20/2021, 08:09:00"
851,704,33,96,"11/20/2021, 08:12:20"
875,148,33,96,"11/20/2021, 08:30:40"
108,630,33,96,"11/20/2021, 08:34:00"
750,855,44,97,"11/20/2021, 08:57:20"
430,753,0,98,"11/20/2021, 08:39:00"
966,804,0,98,"11/20/2021, 08:39:00"
564,618,20,99,"11/20/2021, 08:29:00"
259,842,24,100,"11/20/2021, 08:12:20"
396,771,24,100,"11/20/2021, 08:32:20"
332,846,24,102,"11/20/2021, 08:14:00"
255,845,28,105,"11/20/2021, 08:27:20"
552,823,5,106,"11/20/2021, 08:20:40"
787,852,46,108,"11/20/2021, 08:02:20"
617,831,6,109,"11/20/2021, 08:45:40"
413,617,42,111,"11/20/2021, 08:04:00"
722,785,49,112,"11/20/2021, 08:34:00"
349,684,61,113,"11/20/2021, 08:07:20"
709,50,61,113,"11/20/2021, 08:55:40"
585,724,50,114,"11/20/2021, 08:57:20"
908,853,25,116,"11/20/2021, 08:44:00"
124,674,51,117,"11/20/2021, 08:27:20"
759,850,51,117,"11/20/2021, 08:34:00"
125,817,51,117,"11/20/2021, 08:47:20"
764,675,51,117,"11/20/2021, 08:49:00"
749,703,51,117,"11/20/2021, 08:59:00"
643,705,66,118,"11/20/2021, 07:59:00"
131,800,66,118,"11/20/2021, 08:27:20"
452,854,32,119,"11/20/2021, 08:25:40"
202,845,32,119,"11/20/2021, 08:37:20"
291,773,32,119,"11/20/2021, 08:44:00"
960,833,35,122,"11/20/2021, 08:07:20"
738,835,35,122,"11/20/2021, 08:17:20"
543,848,35,122,"11/20/2021, 08:19:00"
942,845,35,122,"11/20/2021, 08:30:40"
540,340,35,122,"11/20/2021, 08:32:20"
443,801,35,122,"11/20/2021, 08:39:00"
136,195,35,122,"11/20/2021, 08:40:40"
286,602,35,122,"11/20/2021, 08:42:20"
664,848,35,122,"11/20/2021, 08:44:00"
614,814,35,122,"11/20/2021, 08:52:20"
469,765,35,122,"11/20/2021, 08:59:00"
625,849,28,125,"11/20/2021, 08:02:20"
561,853,28,125,"11/20/2021, 08:52:20"
250,546,92,126,"11/20/2021, 08:14:00"
228,846,92,126,"11/20/2021, 08:20:40"
861,456,92,126,"11/20/2021, 08:37:20"
817,738,58,127,"11/20/2021, 08:17:20"
303,372,26,128,"11/20/2021, 08:09:00"
84,838,26,128,"11/20/2021, 08:47:20"
854,775,39,129,"11/20/2021, 08:05:40"
792,715,62,131,"11/20/2021, 08:07:20"
485,600,62,131,"11/20/2021, 08:17:20"
866,206,63,132,"11/20/2021, 08:37:20"
460,398,1,134,"11/20/2021, 08:19:00"
634,698,1,134,"11/20/2021, 08:39:00"
482,770,1,135,"11/20/2021, 08:34:00"
301,403,78,136,"11/20/2021, 08:30:40"
849,746,78,136,"11/20/2021, 08:32:20"
907,835,46,139,"11/20/2021, 08:14:00"
351,520,46,139,"11/20/2021, 08:22:20"
975,408,36,140,"11/20/2021, 08:22:20"
602,774,36,140,"11/20/2021, 08:47:20"
192,834,16,141,"11/20/2021, 08:02:20"
723,786,16,141,"11/20/2021, 08:45:40"
326,832,57,142,"11/20/2021, 08:24:00"
316,855,57,142,"11/20/2021, 08:40:40"
110,537,58,143,"11/20/2021, 08:15:40"
87,840,58,143,"11/20/2021, 08:50:40"
364,852,9,144,"11/20/2021, 08:12:20"
692,661,9,144,"11/20/2021, 08:17:20"
3,518,9,144,"11/20/2021, 08:27:20"
656,844,9,144,"11/20/2021, 08:37:20"
707,820,9,144,"11/20/2021, 08:47:20"
117,803,46,145,"11/20/2021, 08:24:00"
292,854,46,145,"11/20/2021, 08:37:20"
528,769,46,145,"11/20/2021, 08:39:00"
243,827,46,145,"11/20/2021, 08:42:20"
400,854,46,145,"11/20/2021, 08:54:00"
610,779,46,145,"11/20/2021, 08:54:00"
756,373,26,146,"11/20/2021, 08:04:00"
96,529,26,146,"11/20/2021, 08:05:40"
685,537,26,146,"11/20/2021, 08:09:00"
404,849,26,146,"11/20/2021, 08:19:00"
900,622,26,146,"11/20/2021, 08:47:20"
338,577,15,147,"11/20/2021, 08:32:20"
185,855,19,149,"11/20/2021, 08:19:00"
112,709,19,149,"11/20/2021, 08:45:40"
621,853,19,149,"11/20/2021, 08:57:20"
163,664,13,151,"11/20/2021, 08:07:20"
200,640,13,151,"11/20/2021, 08:24:00"
41,449,13,151,"11/20/2021, 08:50:40"
762,323,1,152,"11/20/2021, 08:42:20"
744,414,16,153,"11/20/2021, 08:02:20"
273,515,16,153,"11/20/2021, 08:25:40"
570,794,16,153,"11/20/2021, 08:55:40"
518,804,45,154,"11/20/2021, 08:30:40"
809,806,45,154,"11/20/2021, 08:55:40"
44,335,57,156,"11/20/2021, 08:17:20"
244,830,57,156,"11/20/2021, 08:17:20"
796,690,57,156,"11/20/2021, 08:20:40"
597,791,57,156,"11/20/2021, 08:27:20"
85,817,57,156,"11/20/2021, 08:29:00"
677,795,57,156,"11/20/2021, 08:35:40"
333,468,57,156,"11/20/2021, 08:37:20"
742,854,57,156,"11/20/2021, 08:49:00"
103,376,57,156,"11/20/2021, 08:52:20"
725,689,57,156,"11/20/2021, 08:54:00"
735,855,57,156,"11/20/2021, 08:59:00"
848,852,77,157,"11/20/2021, 07:59:00"
645,849,22,158,"11/20/2021, 08:30:40"
968,775,22,158,"11/20/2021, 08:37:20"
986,740,58,159,"11/20/2021, 08:32:20"
35,822,58,159,"11/20/2021, 08:59:00"
159,737,80,160,"11/20/2021, 08:15:40"
622,714,9,161,"11/20/2021, 07:59:00"
493,613,9,161,"11/20/2021, 08:07:20"
993,535,9,161,"11/20/2021, 08:17:20"
115,548,9,161,"11/20/2021, 08:27:20"
539,826,9,161,"11/20/2021, 08:35:40"
53,695,7,162,"11/20/2021, 08:40:40"
129,855,7,162,"11/20/2021, 08:40:40"
203,820,3,163,"11/20/2021, 08:30:40"
753,837,58,164,"11/20/2021, 08:59:00"
144,68,50,165,"11/20/2021, 08:15:40"
961,713,50,165,"11/20/2021, 08:15:40"
285,135,7,166,"11/20/2021, 08:05:40"
560,531,7,166,"11/20/2021, 08:15:40"
773,830,7,166,"11/20/2021, 08:34:00"
910,852,7,166,"11/20/2021, 08:35:40"
258,724,62,169,"11/20/2021, 08:25:40"
682,855,62,169,"11/20/2021, 08:27:20"
786,791,62,169,"11/20/2021, 08:40:40"
558,834,62,169,"11/20/2021, 08:50:40"
670,815,62,169,"11/20/2021, 08:50:40"
566,660,27,170,"11/20/2021, 08:47:20"
821,637,30,171,"11/20/2021, 08:02:20"
747,833,30,171,"11/20/2021, 08:44:00"
979,431,20,172,"11/20/2021, 08:59:00"
247,702,20,173,"11/20/2021, 08:04:00"
538,832,20,173,"11/20/2021, 08:17:20"
500,780,20,173,"11/20/2021, 08:47:20"
266,818,54,174,"11/20/2021, 08:12:20"
334,413,54,174,"11/20/2021, 08:52:20"
267,780,54,174,"11/20/2021, 08:55:40"
657,855,32,176,"11/20/2021, 08:19:00"
64,544,32,176,"11/20/2021, 08:40:40"
151,520,83,177,"11/20/2021, 08:14:00"
797,852,83,177,"11/20/2021, 08:22:20"
798,106,83,177,"11/20/2021, 08:32:20"
823,762,83,177,"11/20/2021, 08:49:00"
771,482,83,177,"11/20/2021, 08:55:40"
492,354,25,178,"11/20/2021, 08:00:40"
410,855,25,178,"11/20/2021, 08:45:40"
698,854,25,178,"11/20/2021, 08:54:00"
327,619,37,179,"11/20/2021, 08:07:20"
211,23,37,179,"11/20/2021, 08:17:20"
964,643,76,180,"11/20/2021, 08:49:00"
842,510,46,181,"11/20/2021, 08:25:40"
268,812,42,182,"11/20/2021, 08:25:40"
806,337,42,182,"11/20/2021, 08:30:40"
731,841,42,182,"11/20/2021, 08:42:20"
889,782,67,183,"11/20/2021, 08:37:20"
313,368,50,184,"11/20/2021, 08:02:20"
779,834,50,184,"11/20/2021, 08:44:00"
464,443,30,185,"11/20/2021, 08:35:40"
407,855,30,185,"11/20/2021, 08:42:20"
871,610,30,185,"11/20/2021, 08:42:20"
781,852,27,186,"11/20/2021, 08:09:00"
662,86,27,186,"11/20/2021, 08:20:40"
381,584,27,186,"11/20/2021, 08:22:20"
361,769,27,186,"11/20/2021, 08:24:00"
337,608,27,186,"11/20/2021, 08:27:20"
865,43,27,186,"11/20/2021, 08:32:20"
421,369,27,186,"11/20/2021, 08:45:40"
472,855,27,186,"11/20/2021, 08:59:00"
374,795,91,187,"11/20/2021, 08:39:00"
761,852,60,188,"11/20/2021, 08:04:00"
531,830,60,188,"11/20/2021, 08:49:00"
663,826,24,191,"11/20/2021, 08:47:20"
392,799,52,192,"11/20/2021, 08:17:20"
970,774,52,192,"11/20/2021, 08:22:20"
994,780,52,192,"11/20/2021, 08:37:20"
162,789,52,192,"11/20/2021, 08:47:20"
30,618,53,193,"11/20/2021, 08:10:40"
592,805,38,194,"11/20/2021, 07:59:00"
537,805,38,194,"11/20/2021, 08:02:20"
577,855,46,195,"11/20/2021, 07:59:00"
317,855,46,195,"11/20/2021, 08:00:40"
405,790,46,195,"11/20/2021, 08:00:40"
120,672,46,195,"11/20/2021, 08:02:20"
190,755,46,195,"11/20/2021, 08:02:20"
609,517,46,195,"11/20/2021, 08:19:00"
390,820,46,195,"11/20/2021, 08:24:00"
666,701,46,195,"11/20/2021, 08:25:40"
494,820,46,195,"11/20/2021, 08:29:00"
346,829,46,195,"11/20/2021, 08:30:40"
599,685,46,195,"11/20/2021, 08:37:20"
620,816,46,195,"11/20/2021, 08:39:00"
122,845,46,195,"11/20/2021, 08:44:00"
21,471,46,195,"11/20/2021, 08:47:20"
613,504,46,195,"11/20/2021, 08:49:00"
818,407,46,195,"11/20/2021, 08:55:40"
314,828,46,195,"11/20/2021, 08:57:20"
51,828,65,196,"11/20/2021, 08:25:40"
726,793,5,197,"11/20/2021, 08:02:20"
97,329,5,197,"11/20/2021, 08:29:00"
855,812,5,197,"11/20/2021, 08:37:20"
978,853,57,198,"11/20/2021, 08:14:00"
265,402,57,198,"11/20/2021, 08:45:40"
239,847,57,198,"11/20/2021, 08:52:20"
556,840,27,199,"11/20/2021, 07:59:00"
304,826,18,200,"11/20/2021, 08:50:40"
448,797,18,200,"11/20/2021, 08:52:20"
635,849,97,202,"11/20/2021, 08:07:20"
667,852,97,202,"11/20/2021, 08:37:20"
417,855,97,202,"11/20/2021, 08:49:00"
36,763,7,206,"11/20/2021, 08:02:20"
414,855,9,207,"11/20/2021, 08:44:00"
354,786,9,207,"11/20/2021, 08:50:40"
860,771,102,208,"11/20/2021, 08:52:20"
768,110,95,210,"11/20/2021, 08:09:00"
510,853,95,210,"11/20/2021, 08:45:40"
294,852,52,212,"11/20/2021, 08:27:20"
445,755,52,212,"11/20/2021, 08:32:20"
997,832,52,212,"11/20/2021, 08:47:20"
766,834,52,212,"11/20/2021, 08:52:20"
435,715,37,213,"11/20/2021, 08:07:20"
574,849,45,214,"11/20/2021, 08:15:40"
416,391,45,214,"11/20/2021, 08:32:20"
52,49,45,214,"11/20/2021, 08:59:00"
965,326,2,215,"11/20/2021, 07:59:00"
850,841,2,215,"11/20/2021, 08:29:00"
755,836,2,215,"11/20/2021, 08:35:40"
242,593,2,215,"11/20/2021, 08:37:20"
289,806,2,215,"11/20/2021, 08:39:00"
554,847,2,215,"11/20/2021, 08:54:00"
557,705,37,216,"11/20/2021, 08:25:40"
839,702,68,217,"11/20/2021, 08:42:20"
803,568,15,218,"11/20/2021, 08:14:00"
323,689,57,219,"11/20/2021, 08:52:20"
948,834,55,220,"11/20/2021, 07:59:00"
977,832,14,221,"11/20/2021, 08:09:00"
312,2,17,222,"11/20/2021, 08:30:40"
880,852,17,222,"11/20/2021, 08:39:00"
359,347,30,223,"11/20/2021, 08:14:00"
397,853,30,223,"11/20/2021, 08:39:00"
372,118,63,225,"11/20/2021, 08:45:40"
43,341,63,225,"11/20/2021, 08:47:20"
366,47,64,227,"11/20/2021, 08:14:00"
563,742,64,227,"11/20/2021, 08:15:40"
648,855,64,227,"11/20/2021, 08:17:20"
544,693,64,227,"11/20/2021, 08:22:20"
886,780,64,227,"11/20/2021, 08:25:40"
727,193,64,227,"11/20/2021, 08:59:00"
19,445,4,228,"11/20/2021, 08:17:20"
254,821,21,229,"11/20/2021, 08:04:00"
721,646,44,230,"11/20/2021, 08:49:00"
734,655,2,232,"11/20/2021, 08:02:20"
378,854,2,232,"11/20/2021, 08:09:00"
220,824,2,232,"11/20/2021, 08:15:40"
576,346,2,232,"11/20/2021, 08:25:40"
65,854,2,232,"11/20/2021, 08:42:20"
872,420,2,232,"11/20/2021, 08:44:00"
911,855,2,232,"11/20/2021, 08:59:00"
999,855,76,233,"11/20/2021, 07:59:00"
471,692,76,233,"11/20/2021, 08:22:20"
627,855,76,233,"11/20/2021, 08:39:00"
401,743,76,233,"11/20/2021, 08:52:20"
717,855,34,235,"11/20/2021, 08:02:20"
904,370,34,235,"11/20/2021, 08:07:20"
788,851,34,235,"11/20/2021, 08:32:20"
892,782,34,235,"11/20/2021, 08:40:40"
16,721,37,236,"11/20/2021, 08:22:20"
272,529,18,240,"11/20/2021, 08:59:00"
4,855,11,241,"11/20/2021, 08:29:00"
403,832,60,242,"11/20/2021, 08:37:20"
461,854,11,243,"11/20/2021, 08:39:00"
893,383,11,243,"11/20/2021, 08:42:20"
976,844,9,244,"11/20/2021, 08:22:20"
262,736,9,244,"11/20/2021, 08:35:40"
298,844,9,244,"11/20/2021, 08:54:00"
226,747,84,245,"11/20/2021, 08:25:40"
588,855,52,246,"11/20/2021, 08:10:40"
428,842,52,246,"11/20/2021, 08:15:40"
466,697,41,247,"11/20/2021, 08:27:20"
140,534,44,249,"11/20/2021, 08:29:00"
93,692,44,249,"11/20/2021, 08:40:40"
883,843,22,251,"11/20/2021, 08:10:40"
270,509,22,251,"11/20/2021, 08:45:40"
690,823,22,251,"11/20/2021, 08:57:20"
933,822,14,252,"11/20/2021, 07:59:00"
424,389,14,252,"11/20/2021, 08:37:20"
455,855,34,253,"11/20/2021, 08:50:40"
745,837,22,254,"11/20/2021, 08:50:40"
138,830,32,255,"11/20/2021, 08:09:00"
479,713,49,257,"11/20/2021, 08:05:40"
318,783,49,257,"11/20/2021, 08:35:40"
940,717,26,260,"11/20/2021, 08:07:20"
954,842,26,260,"11/20/2021, 08:34:00"
22,475,26,260,"11/20/2021, 08:40:40"
152,732,26,260,"11/20/2021, 08:45:40"
300,834,26,260,"11/20/2021, 08:52:20"
923,664,78,261,"11/20/2021, 08:02:20"
593,844,78,261,"11/20/2021, 08:07:20"
116,829,78,261,"11/20/2021, 08:52:20"
678,336,19,265,"11/20/2021, 08:17:20"
529,847,48,267,"11/20/2021, 08:35:40"
69,357,48,267,"11/20/2021, 08:54:00"
630,843,48,267,"11/20/2021, 08:55:40"
784,769,44,268,"11/20/2021, 08:40:40"
752,681,52,269,"11/20/2021, 08:10:40"
439,852,52,269,"11/20/2021, 08:15:40"
532,483,52,269,"11/20/2021, 08:17:20"
29,497,52,269,"11/20/2021, 08:24:00"
468,101,52,269,"11/20/2021, 08:45:40"
778,630,60,271,"11/20/2021, 08:29:00"
497,173,25,272,"11/20/2021, 08:10:40"
385,115,25,272,"11/20/2021, 08:44:00"
549,781,25,272,"11/20/2021, 08:54:00"
477,850,2,273,"11/20/2021, 08:22:20"
456,626,2,273,"11/20/2021, 08:32:20"
507,842,93,274,"11/20/2021, 08:00:40"
856,751,93,274,"11/20/2021, 08:27:20"
746,643,53,275,"11/20/2021, 08:49:00"
161,854,86,277,"11/20/2021, 08:32:20"
905,519,86,277,"11/20/2021, 08:42:20"
618,855,86,277,"11/20/2021, 08:57:20"
957,744,86,277,"11/20/2021, 08:57:20"
743,430,24,278,"11/20/2021, 08:45:40"
600,844,24,278,"11/20/2021, 08:50:40"
218,330,59,280,"11/20/2021, 08:05:40"
451,541,59,280,"11/20/2021, 08:44:00"
281,378,59,280,"11/20/2021, 08:50:40"
559,824,82,281,"11/20/2021, 08:24:00"
642,855,82,281,"11/20/2021, 08:49:00"
991,854,82,281,"11/20/2021, 08:50:40"
164,835,71,282,"11/20/2021, 08:37:20"
329,847,27,283,"11/20/2021, 08:00:40"
290,854,27,283,"11/20/2021, 08:25:40"
18,209,27,283,"11/20/2021, 08:27:20"
651,752,100,285,"11/20/2021, 08:17:20"
946,153,17,286,"11/20/2021, 08:44:00"
450,843,44,288,"11/20/2021, 08:02:20"
335,848,44,288,"11/20/2021, 08:25:40"
288,853,44,288,"11/20/2021, 08:30:40"
950,849,44,288,"11/20/2021, 08:32:20"
885,802,44,288,"11/20/2021, 08:35:40"
293,851,44,288,"11/20/2021, 08:52:20"
586,804,2,289,"11/20/2021, 08:27:20"
133,298,2,289,"11/20/2021, 08:47:20"
188,853,2,289,"11/20/2021, 08:57:20"
197,832,2,293,"11/20/2021, 08:29:00"
837,817,14,294,"11/20/2021, 08:44:00"
801,806,14,294,"11/20/2021, 08:57:20"
221,822,66,295,"11/20/2021, 08:14:00"
